SDG using torch built-in
nsamples=512, batch_size=64, epoch=100, lr=0.01
initial Wa=0.10000000149011612, Wb=1.7999999523162842
updates=205, Epoch=25, minibatch=4, loss=0.00796, Wa=1.2243, Wb=1.3443
updates=206, Epoch=25, minibatch=5, loss=0.00742, Wa=1.2253, Wb=1.3436
updates=207, Epoch=25, minibatch=6, loss=0.00814, Wa=1.2256, Wb=1.3429
updates=208, Epoch=25, minibatch=7, loss=0.00811, Wa=1.2256, Wb=1.3421
updates=209, Epoch=26, minibatch=0, loss=0.00918, Wa=1.2257, Wb=1.3413
updates=210, Epoch=26, minibatch=1, loss=0.00779, Wa=1.2258, Wb=1.3405
updates=211, Epoch=26, minibatch=2, loss=0.00535, Wa=1.2259, Wb=1.3397
updates=212, Epoch=26, minibatch=3, loss=0.00843, Wa=1.2260, Wb=1.3392
updates=213, Epoch=26, minibatch=4, loss=0.00761, Wa=1.2264, Wb=1.3384
updates=214, Epoch=26, minibatch=5, loss=0.00801, Wa=1.2272, Wb=1.3377
updates=215, Epoch=26, minibatch=6, loss=0.00729, Wa=1.2276, Wb=1.3370
updates=216, Epoch=26, minibatch=7, loss=0.00691, Wa=1.2277, Wb=1.3363
updates=217, Epoch=27, minibatch=0, loss=0.00676, Wa=1.2276, Wb=1.3355
updates=218, Epoch=27, minibatch=1, loss=0.00696, Wa=1.2278, Wb=1.3349
updates=219, Epoch=27, minibatch=2, loss=0.00679, Wa=1.2277, Wb=1.3342
updates=220, Epoch=27, minibatch=3, loss=0.00510, Wa=1.2282, Wb=1.3335
updates=221, Epoch=27, minibatch=4, loss=0.00808, Wa=1.2281, Wb=1.3329
updates=222, Epoch=27, minibatch=5, loss=0.00802, Wa=1.2296, Wb=1.3322
updates=223, Epoch=27, minibatch=6, loss=0.00838, Wa=1.2299, Wb=1.3314
updates=224, Epoch=27, minibatch=7, loss=0.00596, Wa=1.2309, Wb=1.3307
updates=225, Epoch=28, minibatch=0, loss=0.00726, Wa=1.2309, Wb=1.3300
updates=226, Epoch=28, minibatch=1, loss=0.00678, Wa=1.2311, Wb=1.3293
updates=227, Epoch=28, minibatch=2, loss=0.00603, Wa=1.2314, Wb=1.3286
updates=228, Epoch=28, minibatch=3, loss=0.00574, Wa=1.2321, Wb=1.3280
updates=229, Epoch=28, minibatch=4, loss=0.00684, Wa=1.2321, Wb=1.3274
updates=230, Epoch=28, minibatch=5, loss=0.00535, Wa=1.2320, Wb=1.3267
updates=231, Epoch=28, minibatch=6, loss=0.00675, Wa=1.2322, Wb=1.3261
updates=232, Epoch=28, minibatch=7, loss=0.00543, Wa=1.2326, Wb=1.3254
updates=233, Epoch=29, minibatch=0, loss=0.00498, Wa=1.2325, Wb=1.3248
updates=234, Epoch=29, minibatch=1, loss=0.00618, Wa=1.2325, Wb=1.3243
updates=235, Epoch=29, minibatch=2, loss=0.00558, Wa=1.2325, Wb=1.3236
