RMSprop using custom implementation
nsamples=512, batch_size=64, epoch=100, lr=0.02
initial Wa=0.10000000149011612, Wb=1.7999999523162842
updates=113, Epoch=14, minibatch=0, loss=0.01720, Wa=1.0609, Wb=1.3207
updates=114, Epoch=14, minibatch=1, loss=0.02539, Wa=1.0624, Wb=1.3199
updates=115, Epoch=14, minibatch=2, loss=0.02368, Wa=1.0640, Wb=1.3193
updates=116, Epoch=14, minibatch=3, loss=0.01062, Wa=1.0651, Wb=1.3195
updates=117, Epoch=14, minibatch=4, loss=0.02389, Wa=1.0656, Wb=1.3186
updates=118, Epoch=14, minibatch=5, loss=0.01597, Wa=1.0670, Wb=1.3175
updates=119, Epoch=14, minibatch=6, loss=0.01981, Wa=1.0678, Wb=1.3168
updates=120, Epoch=14, minibatch=7, loss=0.01566, Wa=1.0692, Wb=1.3167
updates=121, Epoch=15, minibatch=0, loss=0.01267, Wa=1.0700, Wb=1.3167
updates=122, Epoch=15, minibatch=1, loss=0.02577, Wa=1.0706, Wb=1.3164
updates=123, Epoch=15, minibatch=2, loss=0.01496, Wa=1.0732, Wb=1.3159
updates=124, Epoch=15, minibatch=3, loss=0.02371, Wa=1.0739, Wb=1.3162
updates=125, Epoch=15, minibatch=4, loss=0.01404, Wa=1.0753, Wb=1.3150
updates=126, Epoch=15, minibatch=5, loss=0.01832, Wa=1.0759, Wb=1.3138
updates=127, Epoch=15, minibatch=6, loss=0.02037, Wa=1.0770, Wb=1.3131
updates=128, Epoch=15, minibatch=7, loss=0.01392, Wa=1.0787, Wb=1.3130
updates=129, Epoch=16, minibatch=0, loss=0.01264, Wa=1.0793, Wb=1.3129
updates=130, Epoch=16, minibatch=1, loss=0.02288, Wa=1.0798, Wb=1.3123
updates=131, Epoch=16, minibatch=2, loss=0.01473, Wa=1.0827, Wb=1.3117
updates=132, Epoch=16, minibatch=3, loss=0.01532, Wa=1.0834, Wb=1.3106
updates=133, Epoch=16, minibatch=4, loss=0.02517, Wa=1.0843, Wb=1.3104
updates=134, Epoch=16, minibatch=5, loss=0.01348, Wa=1.0883, Wb=1.3106
updates=135, Epoch=16, minibatch=6, loss=0.01098, Wa=1.0890, Wb=1.3106
updates=136, Epoch=16, minibatch=7, loss=0.02119, Wa=1.0896, Wb=1.3099
updates=137, Epoch=17, minibatch=0, loss=0.01101, Wa=1.0909, Wb=1.3091
updates=138, Epoch=17, minibatch=1, loss=0.02440, Wa=1.0914, Wb=1.3087
updates=139, Epoch=17, minibatch=2, loss=0.01268, Wa=1.0935, Wb=1.3081
updates=140, Epoch=17, minibatch=3, loss=0.01589, Wa=1.0941, Wb=1.3076
updates=141, Epoch=17, minibatch=4, loss=0.01442, Wa=1.0978, Wb=1.3068
updates=142, Epoch=17, minibatch=5, loss=0.01476, Wa=1.0988, Wb=1.3062
updates=143, Epoch=17, minibatch=6, loss=0.01744, Wa=1.0997, Wb=1.3063
updates=144, Epoch=17, minibatch=7, loss=0.01456, Wa=1.1007, Wb=1.3063
updates=145, Epoch=18, minibatch=0, loss=0.01197, Wa=1.1021, Wb=1.3053
updates=146, Epoch=18, minibatch=1, loss=0.02217, Wa=1.1031, Wb=1.3042
updates=147, Epoch=18, minibatch=2, loss=0.02023, Wa=1.1048, Wb=1.3045
updates=148, Epoch=18, minibatch=3, loss=0.00966, Wa=1.1082, Wb=1.3032
updates=149, Epoch=18, minibatch=4, loss=0.01336, Wa=1.1087, Wb=1.3032
updates=150, Epoch=18, minibatch=5, loss=0.00890, Wa=1.1094, Wb=1.3028
updates=151, Epoch=18, minibatch=6, loss=0.02039, Wa=1.1099, Wb=1.3022
updates=152, Epoch=18, minibatch=7, loss=0.01624, Wa=1.1121, Wb=1.3015
updates=153, Epoch=19, minibatch=0, loss=0.01403, Wa=1.1134, Wb=1.3014
updates=154, Epoch=19, minibatch=1, loss=0.01752, Wa=1.1143, Wb=1.3021
updates=155, Epoch=19, minibatch=2, loss=0.00959, Wa=1.1168, Wb=1.3015
updates=156, Epoch=19, minibatch=3, loss=0.00622, Wa=1.1173, Wb=1.3004
updates=157, Epoch=19, minibatch=4, loss=0.00957, Wa=1.1176, Wb=1.2998
updates=158, Epoch=19, minibatch=5, loss=0.01076, Wa=1.1180, Wb=1.2984
updates=159, Epoch=19, minibatch=6, loss=0.02567, Wa=1.1187, Wb=1.2987
updates=160, Epoch=19, minibatch=7, loss=0.01073, Wa=1.1210, Wb=1.2994
updates=161, Epoch=20, minibatch=0, loss=0.01055, Wa=1.1216, Wb=1.2974
updates=162, Epoch=20, minibatch=1, loss=0.01528, Wa=1.1223, Wb=1.2969
updates=163, Epoch=20, minibatch=2, loss=0.00984, Wa=1.1238, Wb=1.2960
updates=164, Epoch=20, minibatch=3, loss=0.00990, Wa=1.1264, Wb=1.2952
updates=165, Epoch=20, minibatch=4, loss=0.01179, Wa=1.1271, Wb=1.2955
updates=166, Epoch=20, minibatch=5, loss=0.00991, Wa=1.1278, Wb=1.2954
updates=167, Epoch=20, minibatch=6, loss=0.01185, Wa=1.1284, Wb=1.2949
updates=168, Epoch=20, minibatch=7, loss=0.01677, Wa=1.1291, Wb=1.2935
updates=169, Epoch=21, minibatch=0, loss=0.01149, Wa=1.1315, Wb=1.2939
updates=170, Epoch=21, minibatch=1, loss=0.00876, Wa=1.1323, Wb=1.2942
updates=171, Epoch=21, minibatch=2, loss=0.01448, Wa=1.1328, Wb=1.2939
updates=172, Epoch=21, minibatch=3, loss=0.00823, Wa=1.1341, Wb=1.2930
updates=173, Epoch=21, minibatch=4, loss=0.01339, Wa=1.1347, Wb=1.2916
updates=174, Epoch=21, minibatch=5, loss=0.00613, Wa=1.1357, Wb=1.2915
updates=175, Epoch=21, minibatch=6, loss=0.00910, Wa=1.1361, Wb=1.2904
updates=176, Epoch=21, minibatch=7, loss=0.01119, Wa=1.1369, Wb=1.2903
updates=177, Epoch=22, minibatch=0, loss=0.00956, Wa=1.1377, Wb=1.2903
updates=178, Epoch=22, minibatch=1, loss=0.01668, Wa=1.1384, Wb=1.2898
updates=179, Epoch=22, minibatch=2, loss=0.00580, Wa=1.1401, Wb=1.2896
updates=180, Epoch=22, minibatch=3, loss=0.00788, Wa=1.1406, Wb=1.2888
updates=181, Epoch=22, minibatch=4, loss=0.01363, Wa=1.1410, Wb=1.2879
updates=182, Epoch=22, minibatch=5, loss=0.00545, Wa=1.1420, Wb=1.2883
updates=183, Epoch=22, minibatch=6, loss=0.01172, Wa=1.1424, Wb=1.2877
updates=184, Epoch=22, minibatch=7, loss=0.00999, Wa=1.1437, Wb=1.2874
updates=185, Epoch=23, minibatch=0, loss=0.02009, Wa=1.1446, Wb=1.2872
updates=186, Epoch=23, minibatch=1, loss=0.01014, Wa=1.1478, Wb=1.2869
updates=187, Epoch=23, minibatch=2, loss=0.00530, Wa=1.1486, Wb=1.2860
updates=188, Epoch=23, minibatch=3, loss=0.01260, Wa=1.1489, Wb=1.2853
updates=189, Epoch=23, minibatch=4, loss=0.00627, Wa=1.1512, Wb=1.2855
updates=190, Epoch=23, minibatch=5, loss=0.01113, Wa=1.1516, Wb=1.2851
updates=191, Epoch=23, minibatch=6, loss=0.00804, Wa=1.1529, Wb=1.2854
updates=192, Epoch=23, minibatch=7, loss=0.00440, Wa=1.1536, Wb=1.2845
updates=193, Epoch=24, minibatch=0, loss=0.00773, Wa=1.1538, Wb=1.2838
updates=194, Epoch=24, minibatch=1, loss=0.01316, Wa=1.1544, Wb=1.2842
updates=195, Epoch=24, minibatch=2, loss=0.00465, Wa=1.1557, Wb=1.2844
updates=196, Epoch=24, minibatch=3, loss=0.00857, Wa=1.1560, Wb=1.2836
updates=197, Epoch=24, minibatch=4, loss=0.00792, Wa=1.1570, Wb=1.2831
updates=198, Epoch=24, minibatch=5, loss=0.00788, Wa=1.1577, Wb=1.2819
updates=199, Epoch=24, minibatch=6, loss=0.01064, Wa=1.1587, Wb=1.2815
updates=200, Epoch=24, minibatch=7, loss=0.00628, Wa=1.1596, Wb=1.2808
updates=201, Epoch=25, minibatch=0, loss=0.00646, Wa=1.1602, Wb=1.2805
updates=202, Epoch=25, minibatch=1, loss=0.01177, Wa=1.1608, Wb=1.2794
updates=203, Epoch=25, minibatch=2, loss=0.00802, Wa=1.1622, Wb=1.2795
updates=204, Epoch=25, minibatch=3, loss=0.00592, Wa=1.1629, Wb=1.2786
updates=205, Epoch=25, minibatch=4, loss=0.00738, Wa=1.1634, Wb=1.2787
updates=206, Epoch=25, minibatch=5, loss=0.00609, Wa=1.1641, Wb=1.2790
updates=207, Epoch=25, minibatch=6, loss=0.00821, Wa=1.1647, Wb=1.2792
updates=208, Epoch=25, minibatch=7, loss=0.00801, Wa=1.1656, Wb=1.2785
updates=209, Epoch=26, minibatch=0, loss=0.00478, Wa=1.1667, Wb=1.2778
updates=210, Epoch=26, minibatch=1, loss=0.00767, Wa=1.1671, Wb=1.2764
updates=211, Epoch=26, minibatch=2, loss=0.01061, Wa=1.1681, Wb=1.2760
updates=212, Epoch=26, minibatch=3, loss=0.00707, Wa=1.1691, Wb=1.2776
updates=213, Epoch=26, minibatch=4, loss=0.00718, Wa=1.1705, Wb=1.2768
updates=214, Epoch=26, minibatch=5, loss=0.00825, Wa=1.1712, Wb=1.2766
updates=215, Epoch=26, minibatch=6, loss=0.00365, Wa=1.1725, Wb=1.2759
updates=216, Epoch=26, minibatch=7, loss=0.00712, Wa=1.1728, Wb=1.2752
updates=217, Epoch=27, minibatch=0, loss=0.00608, Wa=1.1735, Wb=1.2749
updates=218, Epoch=27, minibatch=1, loss=0.00871, Wa=1.1741, Wb=1.2749
updates=219, Epoch=27, minibatch=2, loss=0.00717, Wa=1.1750, Wb=1.2747
updates=220, Epoch=27, minibatch=3, loss=0.00567, Wa=1.1763, Wb=1.2744
updates=221, Epoch=27, minibatch=4, loss=0.00410, Wa=1.1770, Wb=1.2751
updates=222, Epoch=27, minibatch=5, loss=0.00919, Wa=1.1774, Wb=1.2740
updates=223, Epoch=27, minibatch=6, loss=0.00630, Wa=1.1787, Wb=1.2728
updates=224, Epoch=27, minibatch=7, loss=0.00657, Wa=1.1804, Wb=1.2719
updates=225, Epoch=28, minibatch=0, loss=0.00456, Wa=1.1810, Wb=1.2720
updates=226, Epoch=28, minibatch=1, loss=0.00223, Wa=1.1814, Wb=1.2710
updates=227, Epoch=28, minibatch=2, loss=0.01008, Wa=1.1816, Wb=1.2703
updates=228, Epoch=28, minibatch=3, loss=0.00547, Wa=1.1834, Wb=1.2708
updates=229, Epoch=28, minibatch=4, loss=0.00578, Wa=1.1841, Wb=1.2707
updates=230, Epoch=28, minibatch=5, loss=0.00833, Wa=1.1847, Wb=1.2698
updates=231, Epoch=28, minibatch=6, loss=0.00624, Wa=1.1867, Wb=1.2699
updates=232, Epoch=28, minibatch=7, loss=0.00457, Wa=1.1874, Wb=1.2694
updates=233, Epoch=29, minibatch=0, loss=0.00667, Wa=1.1879, Wb=1.2694
updates=234, Epoch=29, minibatch=1, loss=0.00447, Wa=1.1887, Wb=1.2699
updates=235, Epoch=29, minibatch=2, loss=0.00606, Wa=1.1893, Wb=1.2691
updates=236, Epoch=29, minibatch=3, loss=0.00551, Wa=1.1905, Wb=1.2686
updates=237, Epoch=29, minibatch=4, loss=0.00369, Wa=1.1912, Wb=1.2678
updates=238, Epoch=29, minibatch=5, loss=0.00514, Wa=1.1916, Wb=1.2683
updates=239, Epoch=29, minibatch=6, loss=0.00317, Wa=1.1926, Wb=1.2676
updates=240, Epoch=29, minibatch=7, loss=0.00803, Wa=1.1928, Wb=1.2661
updates=241, Epoch=30, minibatch=0, loss=0.00466, Wa=1.1972, Wb=1.2663
updates=242, Epoch=30, minibatch=1, loss=0.00507, Wa=1.1979, Wb=1.2657
updates=243, Epoch=30, minibatch=2, loss=0.00296, Wa=1.1986, Wb=1.2656
updates=244, Epoch=30, minibatch=3, loss=0.00582, Wa=1.1990, Wb=1.2650
updates=245, Epoch=30, minibatch=4, loss=0.00407, Wa=1.2003, Wb=1.2639
updates=246, Epoch=30, minibatch=5, loss=0.00327, Wa=1.2009, Wb=1.2642
updates=247, Epoch=30, minibatch=6, loss=0.00443, Wa=1.2013, Wb=1.2637
updates=248, Epoch=30, minibatch=7, loss=0.00290, Wa=1.2019, Wb=1.2638
updates=249, Epoch=31, minibatch=0, loss=0.00512, Wa=1.2022, Wb=1.2631
updates=250, Epoch=31, minibatch=1, loss=0.00482, Wa=1.2029, Wb=1.2640
updates=251, Epoch=31, minibatch=2, loss=0.00377, Wa=1.2038, Wb=1.2634
updates=252, Epoch=31, minibatch=3, loss=0.00405, Wa=1.2044, Wb=1.2626
updates=253, Epoch=31, minibatch=4, loss=0.00419, Wa=1.2051, Wb=1.2624
updates=254, Epoch=31, minibatch=5, loss=0.00217, Wa=1.2060, Wb=1.2619
updates=255, Epoch=31, minibatch=6, loss=0.00489, Wa=1.2062, Wb=1.2610
updates=256, Epoch=31, minibatch=7, loss=0.00159, Wa=1.2070, Wb=1.2608
updates=257, Epoch=32, minibatch=0, loss=0.00548, Wa=1.2072, Wb=1.2600
updates=258, Epoch=32, minibatch=1, loss=0.00445, Wa=1.2082, Wb=1.2595
updates=259, Epoch=32, minibatch=2, loss=0.00297, Wa=1.2097, Wb=1.2596
updates=260, Epoch=32, minibatch=3, loss=0.00349, Wa=1.2102, Wb=1.2587
updates=261, Epoch=32, minibatch=4, loss=0.00263, Wa=1.2110, Wb=1.2581
updates=262, Epoch=32, minibatch=5, loss=0.00317, Wa=1.2114, Wb=1.2584
updates=263, Epoch=32, minibatch=6, loss=0.00219, Wa=1.2119, Wb=1.2581
updates=264, Epoch=32, minibatch=7, loss=0.00254, Wa=1.2122, Wb=1.2578
updates=265, Epoch=33, minibatch=0, loss=0.00204, Wa=1.2124, Wb=1.2576
updates=266, Epoch=33, minibatch=1, loss=0.00280, Wa=1.2127, Wb=1.2574
updates=267, Epoch=33, minibatch=2, loss=0.00190, Wa=1.2131, Wb=1.2564
updates=268, Epoch=33, minibatch=3, loss=0.00302, Wa=1.2132, Wb=1.2558
updates=269, Epoch=33, minibatch=4, loss=0.00213, Wa=1.2138, Wb=1.2556
updates=270, Epoch=33, minibatch=5, loss=0.00522, Wa=1.2141, Wb=1.2548
updates=271, Epoch=33, minibatch=6, loss=0.00536, Wa=1.2155, Wb=1.2554
updates=272, Epoch=33, minibatch=7, loss=0.00185, Wa=1.2169, Wb=1.2556
updates=273, Epoch=34, minibatch=0, loss=0.00220, Wa=1.2172, Wb=1.2560
updates=274, Epoch=34, minibatch=1, loss=0.00278, Wa=1.2175, Wb=1.2548
updates=275, Epoch=34, minibatch=2, loss=0.00209, Wa=1.2180, Wb=1.2549
updates=276, Epoch=34, minibatch=3, loss=0.00354, Wa=1.2182, Wb=1.2538
updates=277, Epoch=34, minibatch=4, loss=0.00226, Wa=1.2195, Wb=1.2532
updates=278, Epoch=34, minibatch=5, loss=0.00319, Wa=1.2199, Wb=1.2540
updates=279, Epoch=34, minibatch=6, loss=0.00298, Wa=1.2206, Wb=1.2542
updates=280, Epoch=34, minibatch=7, loss=0.00263, Wa=1.2212, Wb=1.2539
updates=281, Epoch=35, minibatch=0, loss=0.00164, Wa=1.2219, Wb=1.2540
updates=282, Epoch=35, minibatch=1, loss=0.00246, Wa=1.2221, Wb=1.2528
updates=283, Epoch=35, minibatch=2, loss=0.00181, Wa=1.2225, Wb=1.2529
updates=284, Epoch=35, minibatch=3, loss=0.00306, Wa=1.2227, Wb=1.2518
updates=285, Epoch=35, minibatch=4, loss=0.00292, Wa=1.2234, Wb=1.2520
updates=286, Epoch=35, minibatch=5, loss=0.00203, Wa=1.2245, Wb=1.2515
updates=287, Epoch=35, minibatch=6, loss=0.00146, Wa=1.2248, Wb=1.2518
updates=288, Epoch=35, minibatch=7, loss=0.00393, Wa=1.2250, Wb=1.2513
updates=289, Epoch=36, minibatch=0, loss=0.00189, Wa=1.2264, Wb=1.2521
updates=290, Epoch=36, minibatch=1, loss=0.00314, Wa=1.2266, Wb=1.2512
updates=291, Epoch=36, minibatch=2, loss=0.00125, Wa=1.2275, Wb=1.2512
updates=292, Epoch=36, minibatch=3, loss=0.00295, Wa=1.2277, Wb=1.2507
updates=293, Epoch=36, minibatch=4, loss=0.00151, Wa=1.2284, Wb=1.2501
updates=294, Epoch=36, minibatch=5, loss=0.00221, Wa=1.2287, Wb=1.2501
updates=295, Epoch=36, minibatch=6, loss=0.00169, Wa=1.2292, Wb=1.2505
updates=296, Epoch=36, minibatch=7, loss=0.00202, Wa=1.2294, Wb=1.2495
updates=297, Epoch=37, minibatch=0, loss=0.00213, Wa=1.2301, Wb=1.2498
updates=298, Epoch=37, minibatch=1, loss=0.00154, Wa=1.2306, Wb=1.2496
updates=299, Epoch=37, minibatch=2, loss=0.00212, Wa=1.2309, Wb=1.2493
updates=300, Epoch=37, minibatch=3, loss=0.00135, Wa=1.2314, Wb=1.2494
updates=301, Epoch=37, minibatch=4, loss=0.00225, Wa=1.2316, Wb=1.2482
