SDG using custom implementation
nsamples=512, batch_size=64, epoch=100, lr=0.0005
initial Wa=0.10000000149011612, Wb=1.7999999523162842
update=127, Epoch=15, minibatch=6, loss=0.06558, Wa=1.2589, Wb=1.2437
update=128, Epoch=15, minibatch=7, loss=0.06180, Wa=1.2587, Wb=1.2432
update=129, Epoch=16, minibatch=0, loss=0.04740, Wa=1.2596, Wb=1.2430
update=130, Epoch=16, minibatch=1, loss=0.06457, Wa=1.2591, Wb=1.2426
update=131, Epoch=16, minibatch=2, loss=0.06631, Wa=1.2602, Wb=1.2422
update=132, Epoch=16, minibatch=3, loss=0.05161, Wa=1.2598, Wb=1.2418
update=133, Epoch=16, minibatch=4, loss=0.05666, Wa=1.2601, Wb=1.2415
update=134, Epoch=16, minibatch=5, loss=0.05981, Wa=1.2595, Wb=1.2412
update=135, Epoch=16, minibatch=6, loss=0.06962, Wa=1.2602, Wb=1.2412
update=136, Epoch=16, minibatch=7, loss=0.06300, Wa=1.2600, Wb=1.2408
update=137, Epoch=17, minibatch=0, loss=0.05248, Wa=1.2600, Wb=1.2400
update=138, Epoch=17, minibatch=1, loss=0.06440, Wa=1.2603, Wb=1.2399
update=139, Epoch=17, minibatch=2, loss=0.05419, Wa=1.2601, Wb=1.2394
update=140, Epoch=17, minibatch=3, loss=0.05535, Wa=1.2605, Wb=1.2397
update=141, Epoch=17, minibatch=4, loss=0.05707, Wa=1.2598, Wb=1.2392
update=142, Epoch=17, minibatch=5, loss=0.05443, Wa=1.2602, Wb=1.2389
update=143, Epoch=17, minibatch=6, loss=0.06026, Wa=1.2601, Wb=1.2384
update=144, Epoch=17, minibatch=7, loss=0.06708, Wa=1.2601, Wb=1.2384
update=145, Epoch=18, minibatch=0, loss=0.06741, Wa=1.2600, Wb=1.2379
update=146, Epoch=18, minibatch=1, loss=0.05294, Wa=1.2597, Wb=1.2376
update=147, Epoch=18, minibatch=2, loss=0.05796, Wa=1.2595, Wb=1.2374
update=148, Epoch=18, minibatch=3, loss=0.05212, Wa=1.2597, Wb=1.2373
update=149, Epoch=18, minibatch=4, loss=0.05722, Wa=1.2598, Wb=1.2373
update=150, Epoch=18, minibatch=5, loss=0.05550, Wa=1.2600, Wb=1.2370
update=151, Epoch=18, minibatch=6, loss=0.06468, Wa=1.2601, Wb=1.2366
update=152, Epoch=18, minibatch=7, loss=0.04972, Wa=1.2606, Wb=1.2365
update=153, Epoch=19, minibatch=0, loss=0.06307, Wa=1.2606, Wb=1.2365
update=154, Epoch=19, minibatch=1, loss=0.06001, Wa=1.2604, Wb=1.2365
update=155, Epoch=19, minibatch=2, loss=0.04883, Wa=1.2603, Wb=1.2361
update=156, Epoch=19, minibatch=3, loss=0.05650, Wa=1.2600, Wb=1.2359
update=157, Epoch=19, minibatch=4, loss=0.06675, Wa=1.2606, Wb=1.2360
update=158, Epoch=19, minibatch=5, loss=0.04515, Wa=1.2606, Wb=1.2356
update=159, Epoch=19, minibatch=6, loss=0.06188, Wa=1.2604, Wb=1.2356
update=160, Epoch=19, minibatch=7, loss=0.05276, Wa=1.2611, Wb=1.2358
update=161, Epoch=20, minibatch=0, loss=0.04338, Wa=1.2609, Wb=1.2354
update=162, Epoch=20, minibatch=1, loss=0.05444, Wa=1.2606, Wb=1.2351
update=163, Epoch=20, minibatch=2, loss=0.04963, Wa=1.2606, Wb=1.2349
update=164, Epoch=20, minibatch=3, loss=0.06731, Wa=1.2604, Wb=1.2348
update=165, Epoch=20, minibatch=4, loss=0.06498, Wa=1.2597, Wb=1.2349
update=166, Epoch=20, minibatch=5, loss=0.05465, Wa=1.2609, Wb=1.2348
update=167, Epoch=20, minibatch=6, loss=0.06462, Wa=1.2610, Wb=1.2349
update=168, Epoch=20, minibatch=7, loss=0.05469, Wa=1.2610, Wb=1.2346
update=169, Epoch=21, minibatch=0, loss=0.05448, Wa=1.2611, Wb=1.2347
update=170, Epoch=21, minibatch=1, loss=0.05368, Wa=1.2611, Wb=1.2347
update=171, Epoch=21, minibatch=2, loss=0.05752, Wa=1.2617, Wb=1.2349
update=172, Epoch=21, minibatch=3, loss=0.05944, Wa=1.2609, Wb=1.2342
update=173, Epoch=21, minibatch=4, loss=0.04506, Wa=1.2611, Wb=1.2339
update=174, Epoch=21, minibatch=5, loss=0.05675, Wa=1.2610, Wb=1.2339
update=175, Epoch=21, minibatch=6, loss=0.06865, Wa=1.2615, Wb=1.2339
update=176, Epoch=21, minibatch=7, loss=0.05736, Wa=1.2609, Wb=1.2340
update=177, Epoch=22, minibatch=0, loss=0.04647, Wa=1.2608, Wb=1.2340
update=178, Epoch=22, minibatch=1, loss=0.05203, Wa=1.2607, Wb=1.2341
update=179, Epoch=22, minibatch=2, loss=0.05636, Wa=1.2605, Wb=1.2336
update=180, Epoch=22, minibatch=3, loss=0.05882, Wa=1.2599, Wb=1.2336
update=181, Epoch=22, minibatch=4, loss=0.06462, Wa=1.2602, Wb=1.2335
update=182, Epoch=22, minibatch=5, loss=0.05356, Wa=1.2603, Wb=1.2336
update=183, Epoch=22, minibatch=6, loss=0.05530, Wa=1.2606, Wb=1.2334
update=184, Epoch=22, minibatch=7, loss=0.06397, Wa=1.2610, Wb=1.2337
update=185, Epoch=23, minibatch=0, loss=0.05707, Wa=1.2613, Wb=1.2337
update=186, Epoch=23, minibatch=1, loss=0.05685, Wa=1.2615, Wb=1.2336
update=187, Epoch=23, minibatch=2, loss=0.05091, Wa=1.2611, Wb=1.2334
update=188, Epoch=23, minibatch=3, loss=0.06097, Wa=1.2614, Wb=1.2334
update=189, Epoch=23, minibatch=4, loss=0.05510, Wa=1.2612, Wb=1.2335
update=190, Epoch=23, minibatch=5, loss=0.05556, Wa=1.2612, Wb=1.2335
update=191, Epoch=23, minibatch=6, loss=0.05072, Wa=1.2614, Wb=1.2336
