RMSprop using torch built-in
nsamples=512, batch_size=64, epoch=100, lr=0.002
Epoch=13, minibatch=3 loss=51.43810, Wa=0.2337, Wb=1.5976
Epoch=13, minibatch=4 loss=55.32486, Wa=0.2355, Wb=1.5971
Epoch=13, minibatch=5 loss=41.80116, Wa=0.2390, Wb=1.5957
Epoch=13, minibatch=6 loss=51.54380, Wa=0.2401, Wb=1.5942
Epoch=13, minibatch=7 loss=40.12489, Wa=0.2403, Wb=1.5925
Epoch=14, minibatch=0 loss=50.88945, Wa=0.2411, Wb=1.5907
Epoch=14, minibatch=1 loss=43.80823, Wa=0.2411, Wb=1.5887
Epoch=14, minibatch=2 loss=41.21790, Wa=0.2414, Wb=1.5856
Epoch=14, minibatch=3 loss=50.03759, Wa=0.2443, Wb=1.5841
Epoch=14, minibatch=4 loss=44.63911, Wa=0.2449, Wb=1.5839
Epoch=14, minibatch=5 loss=47.51655, Wa=0.2491, Wb=1.5811
Epoch=14, minibatch=6 loss=50.28853, Wa=0.2506, Wb=1.5789
Epoch=14, minibatch=7 loss=51.31677, Wa=0.2511, Wb=1.5789
Epoch=15, minibatch=0 loss=48.65976, Wa=0.2524, Wb=1.5781
Epoch=15, minibatch=1 loss=44.16786, Wa=0.2539, Wb=1.5783
Epoch=15, minibatch=2 loss=53.38418, Wa=0.2546, Wb=1.5764
Epoch=15, minibatch=3 loss=49.57648, Wa=0.2561, Wb=1.5764
Epoch=15, minibatch=4 loss=43.75611, Wa=0.2567, Wb=1.5732
Epoch=15, minibatch=5 loss=41.08821, Wa=0.2573, Wb=1.5703
Epoch=15, minibatch=6 loss=46.58034, Wa=0.2574, Wb=1.5676
Epoch=15, minibatch=7 loss=47.36382, Wa=0.2599, Wb=1.5662
Epoch=16, minibatch=0 loss=41.98166, Wa=0.2610, Wb=1.5651
Epoch=16, minibatch=1 loss=46.13749, Wa=0.2653, Wb=1.5637
Epoch=16, minibatch=2 loss=38.74532, Wa=0.2657, Wb=1.5608
Epoch=16, minibatch=3 loss=49.80631, Wa=0.2663, Wb=1.5576
Epoch=16, minibatch=4 loss=45.69562, Wa=0.2669, Wb=1.5576
Epoch=16, minibatch=5 loss=48.46656, Wa=0.2679, Wb=1.5562
Epoch=16, minibatch=6 loss=53.04038, Wa=0.2703, Wb=1.5553
Epoch=16, minibatch=7 loss=44.51470, Wa=0.2718, Wb=1.5531
Epoch=17, minibatch=0 loss=37.66891, Wa=0.2722, Wb=1.5537
Epoch=17, minibatch=1 loss=41.62312, Wa=0.2732, Wb=1.5511
Epoch=17, minibatch=2 loss=39.33392, Wa=0.2756, Wb=1.5482
Epoch=17, minibatch=3 loss=49.53316, Wa=0.2776, Wb=1.5469
Epoch=17, minibatch=4 loss=47.24748, Wa=0.2776, Wb=1.5449
Epoch=17, minibatch=5 loss=47.07528, Wa=0.2782, Wb=1.5442
Epoch=17, minibatch=6 loss=52.36108, Wa=0.2783, Wb=1.5430
Epoch=17, minibatch=7 loss=48.72585, Wa=0.2792, Wb=1.5428
Epoch=18, minibatch=0 loss=45.28281, Wa=0.2850, Wb=1.5425
Epoch=18, minibatch=1 loss=48.37599, Wa=0.2860, Wb=1.5404
