Adam using torch built-in
nsamples=512, batch_size=64, epoch=100, lr=0.03
initial Wa=0.10000000149011612, Wb=1.7999999523162842
updates=174, Epoch=21, minibatch=5, loss=0.00900, Wa=1.1584, Wb=1.2785
updates=175, Epoch=21, minibatch=6, loss=0.00490, Wa=1.1606, Wb=1.2776
updates=176, Epoch=21, minibatch=7, loss=0.01065, Wa=1.1626, Wb=1.2769
updates=177, Epoch=22, minibatch=0, loss=0.00791, Wa=1.1646, Wb=1.2763
updates=178, Epoch=22, minibatch=1, loss=0.00904, Wa=1.1666, Wb=1.2757
updates=179, Epoch=22, minibatch=2, loss=0.00394, Wa=1.1686, Wb=1.2751
updates=180, Epoch=22, minibatch=3, loss=0.00574, Wa=1.1705, Wb=1.2743
updates=181, Epoch=22, minibatch=4, loss=0.00770, Wa=1.1722, Wb=1.2734
updates=182, Epoch=22, minibatch=5, loss=0.00543, Wa=1.1739, Wb=1.2727
updates=183, Epoch=22, minibatch=6, loss=0.00642, Wa=1.1756, Wb=1.2719
updates=184, Epoch=22, minibatch=7, loss=0.00578, Wa=1.1772, Wb=1.2713
updates=185, Epoch=23, minibatch=0, loss=0.00857, Wa=1.1787, Wb=1.2707
updates=186, Epoch=23, minibatch=1, loss=0.00493, Wa=1.1803, Wb=1.2701
updates=187, Epoch=23, minibatch=2, loss=0.00443, Wa=1.1817, Wb=1.2694
updates=188, Epoch=23, minibatch=3, loss=0.00708, Wa=1.1832, Wb=1.2686
updates=189, Epoch=23, minibatch=4, loss=0.00599, Wa=1.1848, Wb=1.2680
updates=190, Epoch=23, minibatch=5, loss=0.00599, Wa=1.1865, Wb=1.2674
updates=191, Epoch=23, minibatch=6, loss=0.00635, Wa=1.1881, Wb=1.2671
updates=192, Epoch=23, minibatch=7, loss=0.00521, Wa=1.1900, Wb=1.2665
updates=193, Epoch=24, minibatch=0, loss=0.00578, Wa=1.1918, Wb=1.2659
updates=194, Epoch=24, minibatch=1, loss=0.00722, Wa=1.1935, Wb=1.2654
updates=195, Epoch=24, minibatch=2, loss=0.00306, Wa=1.1954, Wb=1.2651
updates=196, Epoch=24, minibatch=3, loss=0.00500, Wa=1.1972, Wb=1.2647
updates=197, Epoch=24, minibatch=4, loss=0.00321, Wa=1.1988, Wb=1.2642
updates=198, Epoch=24, minibatch=5, loss=0.00343, Wa=1.2004, Wb=1.2635
updates=199, Epoch=24, minibatch=6, loss=0.00479, Wa=1.2019, Wb=1.2627
updates=200, Epoch=24, minibatch=7, loss=0.00470, Wa=1.2034, Wb=1.2618
updates=201, Epoch=25, minibatch=0, loss=0.00266, Wa=1.2049, Wb=1.2610
updates=202, Epoch=25, minibatch=1, loss=0.00675, Wa=1.2064, Wb=1.2599
updates=203, Epoch=25, minibatch=2, loss=0.00374, Wa=1.2079, Wb=1.2591
updates=204, Epoch=25, minibatch=3, loss=0.00232, Wa=1.2093, Wb=1.2581
updates=205, Epoch=25, minibatch=4, loss=0.00209, Wa=1.2107, Wb=1.2571
updates=206, Epoch=25, minibatch=5, loss=0.00261, Wa=1.2119, Wb=1.2564
updates=207, Epoch=25, minibatch=6, loss=0.00288, Wa=1.2131, Wb=1.2559
updates=208, Epoch=25, minibatch=7, loss=0.00313, Wa=1.2143, Wb=1.2552
updates=209, Epoch=26, minibatch=0, loss=0.00317, Wa=1.2154, Wb=1.2545
updates=210, Epoch=26, minibatch=1, loss=0.00258, Wa=1.2166, Wb=1.2536
updates=211, Epoch=26, minibatch=2, loss=0.00313, Wa=1.2177, Wb=1.2527
updates=212, Epoch=26, minibatch=3, loss=0.00383, Wa=1.2187, Wb=1.2523
updates=213, Epoch=26, minibatch=4, loss=0.00322, Wa=1.2199, Wb=1.2518
updates=214, Epoch=26, minibatch=5, loss=0.00206, Wa=1.2211, Wb=1.2513
updates=215, Epoch=26, minibatch=6, loss=0.00251, Wa=1.2222, Wb=1.2509
updates=216, Epoch=26, minibatch=7, loss=0.00157, Wa=1.2233, Wb=1.2505
updates=217, Epoch=27, minibatch=0, loss=0.00234, Wa=1.2243, Wb=1.2501
updates=218, Epoch=27, minibatch=1, loss=0.00190, Wa=1.2252, Wb=1.2498
updates=219, Epoch=27, minibatch=2, loss=0.00230, Wa=1.2261, Wb=1.2494
updates=220, Epoch=27, minibatch=3, loss=0.00147, Wa=1.2270, Wb=1.2490
updates=221, Epoch=27, minibatch=4, loss=0.00276, Wa=1.2279, Wb=1.2489
updates=222, Epoch=27, minibatch=5, loss=0.00217, Wa=1.2289, Wb=1.2487
updates=223, Epoch=27, minibatch=6, loss=0.00309, Wa=1.2298, Wb=1.2483
updates=224, Epoch=27, minibatch=7, loss=0.00170, Wa=1.2308, Wb=1.2479
updates=225, Epoch=28, minibatch=0, loss=0.00189, Wa=1.2317, Wb=1.2475
updates=226, Epoch=28, minibatch=1, loss=0.00249, Wa=1.2326, Wb=1.2471
updates=227, Epoch=28, minibatch=2, loss=0.00252, Wa=1.2336, Wb=1.2466
updates=228, Epoch=28, minibatch=3, loss=0.00138, Wa=1.2346, Wb=1.2464
updates=229, Epoch=28, minibatch=4, loss=0.00125, Wa=1.2356, Wb=1.2462
updates=230, Epoch=28, minibatch=5, loss=0.00140, Wa=1.2365, Wb=1.2457
updates=231, Epoch=28, minibatch=6, loss=0.00172, Wa=1.2374, Wb=1.2453
updates=232, Epoch=28, minibatch=7, loss=0.00131, Wa=1.2382, Wb=1.2448
updates=233, Epoch=29, minibatch=0, loss=0.00134, Wa=1.2390, Wb=1.2444
updates=234, Epoch=29, minibatch=1, loss=0.00158, Wa=1.2397, Wb=1.2441
updates=235, Epoch=29, minibatch=2, loss=0.00103, Wa=1.2404, Wb=1.2437
updates=236, Epoch=29, minibatch=3, loss=0.00154, Wa=1.2411, Wb=1.2433
updates=237, Epoch=29, minibatch=4, loss=0.00096, Wa=1.2417, Wb=1.2428
updates=238, Epoch=29, minibatch=5, loss=0.00173, Wa=1.2423, Wb=1.2425
updates=239, Epoch=29, minibatch=6, loss=0.00139, Wa=1.2429, Wb=1.2421
updates=240, Epoch=29, minibatch=7, loss=0.00133, Wa=1.2435, Wb=1.2416
updates=241, Epoch=30, minibatch=0, loss=0.00098, Wa=1.2441, Wb=1.2412
updates=242, Epoch=30, minibatch=1, loss=0.00105, Wa=1.2446, Wb=1.2409
updates=243, Epoch=30, minibatch=2, loss=0.00112, Wa=1.2451, Wb=1.2406
updates=244, Epoch=30, minibatch=3, loss=0.00181, Wa=1.2456, Wb=1.2404
updates=245, Epoch=30, minibatch=4, loss=0.00125, Wa=1.2461, Wb=1.2400
updates=246, Epoch=30, minibatch=5, loss=0.00094, Wa=1.2466, Wb=1.2398
updates=247, Epoch=30, minibatch=6, loss=0.00112, Wa=1.2471, Wb=1.2396
updates=248, Epoch=30, minibatch=7, loss=0.00123, Wa=1.2475, Wb=1.2394
updates=249, Epoch=31, minibatch=0, loss=0.00128, Wa=1.2479, Wb=1.2391
updates=250, Epoch=31, minibatch=1, loss=0.00126, Wa=1.2484, Wb=1.2390
updates=251, Epoch=31, minibatch=2, loss=0.00080, Wa=1.2488, Wb=1.2389
updates=252, Epoch=31, minibatch=3, loss=0.00127, Wa=1.2492, Wb=1.2387
updates=253, Epoch=31, minibatch=4, loss=0.00089, Wa=1.2497, Wb=1.2386
updates=254, Epoch=31, minibatch=5, loss=0.00094, Wa=1.2501, Wb=1.2384
updates=255, Epoch=31, minibatch=6, loss=0.00130, Wa=1.2505, Wb=1.2383
updates=256, Epoch=31, minibatch=7, loss=0.00107, Wa=1.2509, Wb=1.2381
updates=257, Epoch=32, minibatch=0, loss=0.00110, Wa=1.2512, Wb=1.2378
updates=258, Epoch=32, minibatch=1, loss=0.00101, Wa=1.2516, Wb=1.2375
updates=259, Epoch=32, minibatch=2, loss=0.00091, Wa=1.2519, Wb=1.2372
updates=260, Epoch=32, minibatch=3, loss=0.00103, Wa=1.2522, Wb=1.2368
updates=261, Epoch=32, minibatch=4, loss=0.00077, Wa=1.2526, Wb=1.2365
updates=262, Epoch=32, minibatch=5, loss=0.00127, Wa=1.2529, Wb=1.2362
updates=263, Epoch=32, minibatch=6, loss=0.00120, Wa=1.2532, Wb=1.2359
updates=264, Epoch=32, minibatch=7, loss=0.00111, Wa=1.2536, Wb=1.2357
updates=265, Epoch=33, minibatch=0, loss=0.00103, Wa=1.2540, Wb=1.2357
updates=266, Epoch=33, minibatch=1, loss=0.00099, Wa=1.2544, Wb=1.2358
updates=267, Epoch=33, minibatch=2, loss=0.00100, Wa=1.2547, Wb=1.2356
updates=268, Epoch=33, minibatch=3, loss=0.00084, Wa=1.2550, Wb=1.2354
updates=269, Epoch=33, minibatch=4, loss=0.00079, Wa=1.2553, Wb=1.2351
updates=270, Epoch=33, minibatch=5, loss=0.00093, Wa=1.2556, Wb=1.2348
updates=271, Epoch=33, minibatch=6, loss=0.00111, Wa=1.2558, Wb=1.2346
updates=272, Epoch=33, minibatch=7, loss=0.00094, Wa=1.2561, Wb=1.2346
updates=273, Epoch=34, minibatch=0, loss=0.00078, Wa=1.2564, Wb=1.2347
updates=274, Epoch=34, minibatch=1, loss=0.00096, Wa=1.2566, Wb=1.2346
updates=275, Epoch=34, minibatch=2, loss=0.00111, Wa=1.2569, Wb=1.2346
updates=276, Epoch=34, minibatch=3, loss=0.00096, Wa=1.2571, Wb=1.2344
